OF_TURN,HYDRANT,MAPPAGE,SEQ__,ZIPCODE,OF_TURNS,STATION,DIRECTION,COMPLETED,FLOW,NUM,LOCATION,STATIC_PRE,CLASS,CONDITION,VALVE_MAKE,DATE_INSPE,HYDRANT_ID,LONGITUDE,VALVE_SIZE,TYPE0,DATE_INSTA,SIZE,CITY,NAME,DISTRICT,VALVE_TYPE,MAKE,ATLAS_PAGE,ADDRESS,LATITUDE,TYPE,RESIDUAL_P
L,,1430,0014,74133,30,28,S,1,1060,6919,1000'E MEMORIAL 400'S 68 ST ES,0,NA,,,1999-06-16,00559-0014,-95.882277,80,3-WAY,,45,TULSA,MEMORIAL,5,GATE,MUELL,00559,6919 S MEMORIAL  DR E,36.063804,DR,0
L,,1277,0057,74135,0,21,E,1,1100,4134,1000'E/PITTSBURG BET/31 & 33ST,0,NA,,C487,1999-05-27,00093-0057,-95.927844,60,3-WAY,,52,TULSA,31,2,GATE,CLOW,00093,4134 E 31th ST S,36.116786,ST,0
L,,1332,0024,74137,27,32,S,1,41902,8821,1000'E YALE 1400'N 91 ST NS,0,NA,,C439,2003-08-11,01005-0024,-95.917462,80,3-WAY,1984-10-08,52,TULSA,CANTON,5,GATE,MUELL,01005,8821 S CANTON  PL E,36.035191,PL,0
L,,1332,0026,74137,26,32,E,1,41902,5216,1000'E YALE 650'N 91 ST SS,0,NA,,C439,2003-08-11,01005-0026,-95.917563,80,3-WAY,1984-10-04,52,TULSA,89,5,GATE,CLOW,01005,5212 E 89th CT S,36.033592,ST,0
L,,1332,0025,74137,26,32,S,1,41902,8845,1000'E YALE 850'N 91 ST SS,0,NA,,C439,2003-08-11,01005-0025,-95.91739,80,3-WAY,1984-10-09,52,TULSA,CANTON,5,GATE,CLOW,01005,8901 S CANTON  PL E,36.034387,PL,0
L,,1233,0012,74137,40,32,S,1,90399,9905,1000'N 101 & 250'E DELAWARE,11,NA,,C469,1999-08-11,01277-0012,-95.948188,120,3-WAY,,52,TULSA,DELAWARE,5,GATE,DARLI,01277,9905 S DELAWARE  AV E,36.020056,AV,4
L,,1377,0042,74145,32,25,,1,1060,0,1000'N/36ST/1000'W OF MEMORIAL,0,NA,,C496,1999-06-10,00091-0042,-95.889847,100,3-WAY,,52,TULSA,,5,GATE,CLOW,00091,,36.114259,,0
L,,1381,0094,74133,21,28,S,1,11200,7334,1000'N 76 175'W MEMORIAL WS,0,NA,,,1999-05-13,00659-0094,-95.887039,60,3-WAY,,52,TULSA,MEMORIAL,5,GATE,MUELL,00659,7334 S MEMORIAL  DR E,36.056494,DR,0
L,,1377,0043,74145,18,25,,1,1060,0,1000'N OF 36/ 800'W OF MEMORIA,0,NA,,C541,1999-06-10,00091-0043,-95.888985,60,3-WAY,,52,TULSA,,5,GATE,CLOW,00091,,36.114608,,0
L,,1372,0045,74115,20,17,N,1,41702,2202,1000'N VIRGIN 400'W MEMORIAL,9,NA,,C439,2003-08-15,00121-0045,-95.887923,60,3-WAY,,42,TULSA,MEMORIAL,2,GATE,MUELL,00121,2202 N MEMORIAL  DR E,36.186951,DR,0
L,,1229,0044,74105,20,23,S,1,0,5206,1000'S 51 500'W HARVARD ES,0,NA,,C465,1999-06-27,00314-0044,-95.941886,60,3-WAY,,42,TULSA,HARVARD,3,GATE,MUELL,00314,5206 S HARVARD  AV  2,36.086846,AV,0
L,,1229,0041,74105,20,23,S,1,0,5206,1000'S 51 875'W HARVARD SS,0,NA,,C465,1999-06-27,00314-0041,-95.943319,60,3-WAY,,0,TULSA,HARVARD,3,GATE,MUELL,00314,5206 S HARVARD  AV  2,36.086714,AV,0
L,,1179,0005,74105,21,18,S,1,1050,5645,1000'S 56 ST 250'W QUINCY,0,NA,,C494,1999-05-11,00390-0005,-95.973875,60,3-WAY,,42,TULSA,PEORIA,3,GATE,M & H,00390,5645 S PEORIA  AV E,36.079855,EA,0
L,,1431,0054,74133,32,28,E,1,1070,9133,1000'S 71ST & 400'E 92 EA NS,0,NA,,,1999-06-02,00658-0054,-95.872119,100,3-WAY,,52,TULSA,74,5,GATE,MUELL,00658,9133 E 74th ST S,36.058111,ST,0
L,,1576,0050,74134,21,30,E,1,1070,14002,1000'W/145 EA 300'S/21ST NS,0,NA,,C494,1999-05-12,00301-0050,-95.820098,60,3-WAY,,0,TULSA,21,2,GATE,M & H,00301,14002 E 21th ST S,36.132519,ST,0
L,,1576,0051,74134,38,30,E,1,1070,14002,1000'W/145 EA 375'N/24ST SS,0,NA,,C439,1999-05-03,00301-0051,-95.818809,120,3-WAY,,0,TULSA,21,2,GATE,MUELL,00301,14002 E 21th ST S,36.130044,ST,0
L,,1378,0106,74145,28,25,S,1,1050,4970,1000'W MEMORIAL 1000'N 51ST SS,0,NA,,,2003-08-18,00244-0106,-95.889942,80,3-WAY,,52,TULSA,MEMORIAL,5,GATE,KENNE,00244,4970 S MEMORIAL  DR E,36.092083,DR,0
